Date,0
2023-01-04,9876.918033909178
2023-01-05,9682.401918950482
2023-01-06,9905.669330988354
2023-01-09,9972.377939378348
2023-01-10,10027.765633718322
2023-01-11,10305.222567133545
2023-01-12,10326.950996579631
2023-01-13,10408.10347604357
2023-01-17,10437.64251746098
2023-01-18,10343.163810131386
2023-01-19,10365.956753947943
2023-01-20,10734.632998220937
2023-01-23,10929.782956107336
2023-01-24,10901.683567154452
2023-01-25,10780.108934808057
2023-01-26,11024.513560064797
2023-01-27,11138.690032137685
2023-01-30,10884.267482930287
2023-01-31,11056.160558442032
2023-02-01,11209.03182752556
2023-02-02,11777.201007820207
2023-02-03,11692.434965025783
2023-02-06,11528.790143739594
2023-02-07,11915.635684822046
2023-02-08,11554.391569036457
2023-02-09,11324.661254537334
2023-02-10,11307.731078305922
2023-02-13,11503.788790618086
2023-02-14,11493.343461910197
2023-02-15,11607.777125887098
2023-02-16,11419.304508416444
2023-02-17,11288.82169217021
2023-02-21,11006.670926287574
2023-02-22,10995.294383036871
2023-02-23,11026.29132596413
2023-02-24,10812.343988972207
2023-02-27,10887.475726259903
2023-02-28,10870.048486448573
2023-03-01,10774.50647448291
2023-03-02,10920.112441420071
2023-03-03,11188.606998046793
2023-03-06,11348.04650846269
2023-03-07,11195.970666834304
2023-03-08,11244.66159867897
2023-03-09,11088.302080932428
2023-03-10,10918.336851133825
2023-03-13,11069.896082624975
2023-03-14,11315.974604528548
2023-03-15,11471.214632135638
2023-03-16,11857.600670067824
2023-03-17,11922.254720576944
2023-03-20,11885.433820880271
2023-03-21,12099.297634699997
2023-03-22,11979.926951752666
2023-03-23,12154.552378035043
2023-03-24,12226.283819200531
2023-03-27,12007.639100687245
2023-03-28,11914.110693651803
2023-03-29,12096.03638612629
2023-03-30,12169.028265772276
2023-03-31,12396.365001556373
2023-04-03,12453.292637613358
2023-04-04,12443.93281716733
2023-04-05,12344.778293224203
2023-04-06,12605.862936548016
2023-04-10,12428.945001407312
2023-04-11,12277.745945726383
2023-04-12,12233.723692806847
2023-04-13,12586.41216061151
2023-04-14,12571.891339520502
2023-04-17,12502.813065164313
2023-04-18,12488.942316575207
2023-04-19,12521.227430517996
2023-04-20,12492.949789277312
2023-04-21,12439.840682087151
2023-04-24,12427.736058700973
2023-04-25,12221.043017491806
2023-04-26,12480.703536209248
2023-04-27,12882.89966428274
2023-04-28,12947.219886977478
2023-05-01,12904.679222885015
2023-05-02,12808.637642982792
2023-05-03,12767.870783974375
2023-05-04,12697.104144101224
2023-05-05,13037.179753422415
2023-05-08,13084.461756853303
2023-05-09,13000.411804577092
2023-05-10,13278.873891089936
2023-05-11,13420.542595544039
2023-05-12,13411.789210268635
2023-05-15,13369.871013701078
2023-05-16,13506.760865246257
2023-05-17,13611.427226379968
2023-05-18,13813.184980252736
2023-05-19,13805.258134505242
2023-05-22,13899.981154973071
2023-05-23,13653.384743435407
2023-05-24,13589.161409599234
2023-05-25,13873.145731059909
2023-05-26,14076.569635771843
2023-05-30,14088.680344885033
2023-05-31,14008.038667827897
2023-06-01,14185.499136317485
2023-06-02,14278.107228804825
2023-06-05,14289.649289765672
2023-06-06,14292.366233472536
2023-06-07,13949.071497342831
2023-06-08,14050.49870196506
2023-06-09,14089.336254772035
2023-06-12,14293.832332103986
2023-06-13,14313.189959448682
2023-06-14,14370.630032078116
2023-06-15,14621.387190556674
2023-06-16,14454.079828056168
2023-06-20,14395.339108239092
2023-06-21,14214.98943580244
2023-06-22,14479.366799935719
2023-06-23,14379.678407938205
2023-06-26,14115.755749833626
2023-06-27,14274.87566260678
2023-06-28,14401.877839479583
2023-06-29,14363.753435615454
2023-06-30,14601.567948858723
2023-07-03,14508.45263169118
2023-07-05,14551.169366846822
2023-07-06,14545.534027664058
2023-07-07,14430.96490055589
2023-07-10,14181.268979115848
2023-07-11,14204.111769577063
2023-07-12,14384.932549166824
2023-07-13,14666.114482459698
2023-07-14,14734.52520454936
2023-07-17,14820.289147458972
2023-07-18,14954.456934792153
2023-07-19,14894.719372974041
2023-07-20,14612.964165614261
2023-07-21,14566.376376937054
2023-07-24,14665.024490416274
2023-07-25,14799.181601752047
2023-07-26,14907.385212048031
2023-07-27,14782.041056209224
2023-07-28,15071.709923107455
2023-07-31,15061.458145115925
2023-08-01,14999.932563562717
2023-08-02,14677.833936044974
2023-08-03,14628.003513148726
2023-08-04,14354.23610426957
2023-08-07,14399.68567366871
2023-08-08,14373.87647520644
2023-08-09,14216.596859824765
2023-08-10,14220.80679756796
2023-08-11,14196.051850261583
2023-08-14,14343.899772330846
2023-08-15,14199.764728922608
2023-08-16,14123.320472567591
2023-08-17,14038.847136997392
2023-08-18,13973.479822597934
2023-08-21,14115.08344071379
2023-08-22,14192.305124116641
2023-08-23,14492.414962028288
2023-08-24,14156.174413398892
2023-08-25,14276.509335429946
2023-08-28,14372.622427771807
2023-08-29,14681.802676129984
2023-08-30,14846.304763819162
2023-08-31,14852.976459693447
2023-09-01,14897.64923520343
2023-09-05,14968.7556439676
2023-09-06,14701.406248807565
2023-09-07,14517.094621773798
2023-09-08,14626.902580794595
2023-09-11,14731.097976136856
2023-09-12,14496.300746151313
2023-09-13,14529.497426446404
2023-09-14,14662.016799809431
2023-09-15,14505.690766523794
2023-09-18,14609.30783940709
2023-09-19,14635.865951157019
2023-09-20,14279.448794468168
2023-09-21,14109.308219986438
2023-09-22,14100.288076695073
2023-09-25,14178.635181394257
2023-09-26,13886.06077480741
2023-09-27,13909.99853119213
2023-09-28,13982.83900989212
2023-09-29,13987.765552205146
