Date,AAPL,GOOG,MSFT
2023-01-03,123.4706039428711,89.27714538574219,234.80897521972656
2023-01-04,124.7441177368164,88.29181671142578,224.53765869140625
2023-01-05,123.42125701904297,86.36094665527344,217.88287353515625
2023-01-06,127.96240997314453,87.74439239501953,220.45071411132812
2023-01-09,128.4856414794922,88.38137817382812,222.59706115722656
2023-01-10,129.0582275390625,88.8193130493164,224.29261779785156
2023-01-11,131.782958984375,91.82508087158203,231.0748291015625
2023-01-12,131.70396423339844,91.47672271728516,233.76025390625
2023-01-13,133.03671264648438,92.36253356933594,234.46591186523438
2023-01-17,134.20159912109375,91.72554779052734,235.5636444091797
2023-01-18,133.48095703125,91.34733581542969,231.11402893066406
2023-01-19,133.54022216796875,93.46730041503906,227.31129455566406
2023-01-20,136.10693359375,98.8119888305664,235.4362030029297
2023-01-23,139.30551147460938,100.73287963867188,237.7492218017578
2023-01-24,140.7073516845703,98.7423095703125,237.21995544433594
2023-01-25,140.04591369628906,96.27400970458984,235.8184356689453
2023-01-26,142.1190643310547,98.69255065917969,243.06126403808594
2023-01-27,144.0638427734375,100.23523712158203,243.2180633544922
2023-01-30,141.17135620117188,97.48824310302734,237.8766326904297
2023-01-31,142.44482421875,99.39920043945312,242.8750457763672
2023-02-01,143.57025146484375,100.95184326171875,247.7166748046875
2023-02-02,148.89134216308594,108.287109375,259.3306884765625
2023-02-03,152.52426147460938,104.72398376464844,253.2051544189453
2023-02-06,149.78968811035156,102.98222351074219,251.6566162109375
2023-02-07,152.67236328125,107.53069305419922,262.2317810058594
2023-02-08,149.97727966308594,99.5285873413086,261.41827392578125
2023-02-09,148.9407196044922,95.0099868774414,258.3702087402344
2023-02-10,149.30653381347656,94.4128189086914,257.86053466796875
2023-02-13,152.11448669433594,94.55216217041016,265.9168701171875
2023-02-14,151.47181701660156,94.50238800048828,266.74993896484375
2023-02-15,153.57778930664062,96.64225769042969,264.61785888671875
2023-02-16,151.97608947753906,95.32847595214844,257.572998046875
2023-02-17,150.8291473388672,94.14408874511719,253.55442810058594
2023-02-21,146.8050537109375,91.61607360839844,248.25852966308594
2023-02-22,147.230224609375,91.36724853515625,247.1187744140625
2023-02-23,147.71469116210938,90.64067840576172,250.32188415527344
2023-02-24,145.05503845214844,88.92879486083984,244.86875915527344
2023-02-27,146.25135803222656,89.67525482177734,245.7923583984375
2023-02-28,145.7471466064453,89.87431335449219,245.0652618408203
2023-03-01,143.67080688476562,90.08332061767578,241.9702911376953
2023-03-02,144.2640838623047,91.87483978271484,246.72576904296875
2023-03-03,149.32627868652344,93.57677459716797,250.83279418945312
2023-03-06,152.09471130371094,95.12942504882812,252.3852081298828
2023-03-07,149.88986206054688,93.72606658935547,249.71267700195312
2023-03-08,151.1455535888672,94.20381927490234,249.2705535888672
2023-03-09,148.8912811279297,92.22319793701172,247.91465759277344
2023-03-10,146.82481384277344,90.58096313476562,244.24977111816406
2023-03-13,148.7726287841797,91.22791290283203,249.4866943359375
2023-03-14,150.86871337890625,93.8056869506836,256.23675537109375
2023-03-15,151.2642059326172,96.09485626220703,260.8055725097656
2023-03-16,154.0919189453125,100.59354400634766,271.37774658203125
2023-03-17,153.25152587890625,101.97698211669922,274.5513000488281
2023-03-20,155.62445068359375,101.4494857788086,267.47705078125
2023-03-21,157.48321533203125,105.34104919433594,269.0000305175781
2023-03-22,156.04959106445312,103.72869110107422,267.53594970703125
2023-03-23,157.1371612548828,105.75907897949219,272.8122253417969
2023-03-24,158.44229125976562,105.56002044677734,275.6714172363281
2023-03-27,156.4945068359375,102.57415771484375,271.5545349121094
2023-03-28,155.87161254882812,100.8821792602539,270.4247131347656
2023-03-29,158.9564208984375,101.41963195800781,275.61248779296875
2023-03-30,160.52847290039062,100.84236907958984,279.09063720703125
2023-03-31,163.03982543945312,103.50972747802734,283.2664489746094
2023-04-03,164.29550170898438,104.41545104980469,282.2151794433594
2023-04-04,163.76158142089844,104.62445831298828,282.166015625
2023-04-05,161.91270446777344,104.45525360107422,279.3755798339844
2023-04-06,162.8025360107422,108.38663482666016,286.50885009765625
2023-04-10,160.20217895507812,106.4458236694336,284.3374938964844
2023-04-11,158.98609924316406,105.61974334716797,277.89190673828125
2023-04-12,158.29397583007812,104.72398376464844,278.5404357910156
2023-04-13,163.6923828125,107.67998504638672,284.77960205078125
2023-04-14,163.34632873535156,108.9439926147461,281.14422607421875
2023-04-17,163.3660888671875,105.91831970214844,283.7576904296875
2023-04-18,164.5921173095703,104.62445831298828,283.33526611328125
2023-04-19,165.73904418945312,104.52491760253906,283.4138488769531
2023-04-20,164.77008056640625,105.4007797241211,281.11468505859375
2023-04-21,163.15846252441406,105.41072845458984,280.77081298828125
2023-04-24,163.4650115966797,106.27661895751953,276.8504943847656
2023-04-25,161.92257690429688,104.11685180664062,270.6113586425781
2023-04-26,161.91270446777344,103.95760345458984,290.2130126953125
2023-04-27,166.51023864746094,107.85913848876953,299.5078430175781
2023-04-28,167.76589965820312,107.7098388671875,301.89544677734375
2023-05-01,167.67691040039062,107.20223999023438,300.22509765625
2023-05-02,166.63876342773438,105.48040771484375,300.0776672363281
2023-05-03,165.56106567382812,105.61974334716797,299.0853576660156
2023-05-04,163.91976928710938,104.71401977539062,300.0776672363281
2023-05-05,171.61203002929688,105.71428680419922,305.2261962890625
2023-05-08,171.5428009033203,107.729736328125,303.2611999511719
2023-05-09,169.83233642578125,107.43116760253906,301.6399841308594
2023-05-10,171.60215759277344,111.75070190429688,306.85723876953125
2023-05-11,171.78997802734375,116.34891510009766,304.6956787109375
